cwe_id,year,cve_count,pct_of_year,yoy_growth_pct
CWE-119,2020,115,0.6,-75.0
CWE-119,2021,215,0.98,87.0
CWE-119,2022,200,0.76,-7.0
CWE-119,2023,144,0.47,-28.0
CWE-119,2024,144,0.35,0.0
CWE-119,2025,789,1.58,447.9
CWE-119,2026,912,1.38,15.6
CWE-1191,2024,4,0.01,
CWE-1191,2025,12,0.02,200.0
CWE-1191,2026,5,0.01,-58.3
CWE-120,1997,1,0.4,
CWE-120,1998,2,0.81,100.0
CWE-120,1999,1,0.11,-50.0
CWE-120,2000,4,0.39,300.0
CWE-120,2001,5,0.3,25.0
CWE-120,2002,3,0.14,-40.0
CWE-120,2003,7,0.45,133.3
CWE-120,2004,3,0.12,-57.1
CWE-120,2005,1,0.02,-66.7
CWE-120,2006,4,0.06,300.0
CWE-120,2007,5,0.08,25.0
CWE-120,2008,7,0.12,40.0
CWE-120,2009,4,0.07,-42.9
CWE-120,2010,9,0.19,125.0
CWE-120,2011,15,0.36,66.7
CWE-120,2012,5,0.09,-66.7
CWE-120,2013,6,0.11,20.0
CWE-120,2014,5,0.06,-16.7
CWE-120,2015,5,0.08,0.0
CWE-120,2016,15,0.23,200.0
CWE-120,2017,39,0.22,160.0
CWE-120,2018,47,0.26,20.5
CWE-120,2019,104,0.55,121.3
CWE-120,2020,378,1.97,263.5
CWE-120,2021,386,1.76,2.1
CWE-120,2022,403,1.52,4.4
CWE-120,2023,511,1.65,26.8
CWE-120,2024,584,1.43,14.3
CWE-120,2025,545,1.09,-6.7
CWE-120,2026,468,0.71,-14.1
CWE-1204,2025,2,0.0,
CWE-121,2020,10,0.05,
CWE-121,2021,56,0.26,460.0
CWE-121,2022,17,0.06,-69.6
CWE-121,2023,88,0.28,417.6
CWE-121,2024,317,0.78,260.2
CWE-121,2025,438,0.88,38.2
CWE-121,2026,664,1.0,51.6
CWE-122,2020,10,0.05,
CWE-122,2021,27,0.12,170.0
CWE-122,2022,42,0.16,55.6
CWE-122,2023,29,0.09,-31.0
CWE-122,2024,116,0.28,300.0
CWE-122,2025,314,0.63,170.7
CWE-122,2026,1123,1.69,257.6
CWE-1220,2022,2,0.01,
CWE-1220,2023,2,0.01,0.0
CWE-1220,2024,7,0.02,250.0
CWE-1220,2025,21,0.04,200.0
CWE-1220,2026,39,0.06,85.7
CWE-1223,2024,1,0.0,
CWE-1223,2025,1,0.0,0.0
CWE-123,2017,2,0.01,
CWE-123,2018,5,0.03,150.0
CWE-123,2020,1,0.01,-80.0
CWE-123,2021,5,0.02,400.0
CWE-123,2022,1,0.0,-80.0
CWE-123,2024,3,0.01,200.0
CWE-123,2025,4,0.01,33.3
CWE-123,2026,10,0.02,150.0
CWE-1230,2023,1,0.0,
CWE-1230,2025,11,0.02,1000.0
CWE-1230,2026,7,0.01,-36.4
CWE-1231,2025,1,0.0,
CWE-1231,2026,1,0.0,0.0
CWE-1233,2025,2,0.0,
CWE-1233,2026,2,0.0,0.0
CWE-1234,2026,2,0.0,
CWE-1236,2018,19,0.1,
CWE-1236,2019,25,0.13,31.6
CWE-1236,2020,37,0.19,48.0
CWE-1236,2021,28,0.13,-24.3
CWE-1236,2022,39,0.15,39.3
CWE-1236,2023,55,0.18,41.0
CWE-1236,2024,25,0.06,-54.5
CWE-1236,2025,36,0.07,44.0
CWE-1236,2026,37,0.06,2.8
CWE-124,2021,1,0.0,
CWE-124,2022,1,0.0,0.0
CWE-124,2025,9,0.02,800.0
CWE-124,2026,16,0.02,77.8
CWE-1240,2024,1,0.0,
CWE-1240,2025,6,0.01,500.0
CWE-1240,2026,8,0.01,33.3
